Uuid,Void/Retire,Workflow,State concept,Initial,Terminal
5dbd56a1-2f8e-42e7-95ac-f5ec6dde9c85,,ffe59a80-e9fa-4403-aa00-999ee812f602,SAM,true,
94ee0693-dc6d-401d-8379-d47bbe711466,,ffe59a80-e9fa-4403-aa00-999ee812f602,MAM,true,
cbc50b1d-baab-4db8-8a5d-b925298dc823,,ffe59a80-e9fa-4403-aa00-999ee812f602,Reached target weight,true,
01f82627-c40a-40c0-b282-bb27f8eed23c,,ffe59a80-e9fa-4403-aa00-999ee812f602,Undefined,true,
210eb968-e55c-4085-b9a2-84ece4f5bb27,,ffe59a80-e9fa-4403-aa00-999ee812f602,Completed 18 weeks in program (patient is automatically discharged after 18 weeks),,true
08a2c07e-de0d-46e1-8cf4-5c52b103611c,,ffe59a80-e9fa-4403-aa00-999ee812f602,Hospitalized for malnutrition,,true
9eec35b6-98d7-4d0b-b445-8cd7ea37789f,,ffe59a80-e9fa-4403-aa00-999ee812f602,Hospitalized for another reason (Explain in Visit Note),,true
93518a3f-bddb-4439-83f3-8555a0bf1038,,ffe59a80-e9fa-4403-aa00-999ee812f602,Abandoned the program,,true
fb1ab996-45a1-4447-b6e4-bbfda76048a9,,ffe59a80-e9fa-4403-aa00-999ee812f602,Death,,true
fcef39c7-5b96-4803-86e6-e6ef48d4d8a3,,ffe59a80-e9fa-4403-aa00-999ee812f602,Other,,true
6edf8f53-7883-4b03-9cfe-003b7ef32802,,3009b582-1745-46bc-8886-7ea20f4675f2,Normal Pregnancy,true,
66ca4bd8-790b-4d5a-9b8f-5a063b7d9fa4,,3009b582-1745-46bc-8886-7ea20f4675f2,Risky Pregnancy,true,
c4117be8-5de1-4912-9f10-0c4c8e1b3f51,,3009b582-1745-46bc-8886-7ea20f4675f2,Delivery,,true
de71c60a-446e-458d-a3a7-da7c05c4faf2,,3009b582-1745-46bc-8886-7ea20f4675f2,Referred,,true
d7a4e661-ba56-49fc-9723-a23a32b63d3e,,3009b582-1745-46bc-8886-7ea20f4675f2,10 months elapsed,,true
